sbscrbr,Plan_Type,data_consumed,load_date
2152390595,PLN-50,525623,9/20/2018
2363222315,PLN-2K,376919,9/20/2018
8031777977,PLN-100,775866,9/20/2018
3324245844,PLN-500,689030,9/20/2018
4344459543,PLN-500,650615,9/20/2018
5824167174,PLN-2K,114902,9/20/2018
9137031157,PLN-100,116042,9/20/2018
6574560964,PLN-500,512951,9/20/2018
8507144831,PLN-50,808346,9/20/2018
1058852350,PLN-500,331981,9/20/2018
5879009159,PLN-2K,243282,9/20/2018
7598506704,PLN-2K,736260,9/20/2018
8084937991,PLN-50,933109,9/20/2018
2749173407,PLN-2K,291863,9/20/2018
2021807324,PLN-100,778260,9/20/2018
8775599439,PLN-500,732989,9/20/2018
4682544228,PLN-500,501014,9/20/2018
7615701682,PLN-2K,858295,9/20/2018
6515664166,PLN-100,192822,9/20/2018
2027766534,PLN-500,639473,9/20/2018
9866590863,PLN-50,786949,9/20/2018
9727152829,PLN-500,530644,9/20/2018
3932646752,PLN-2K,679541,9/20/2018
2699592901,PLN-2K,301895,9/20/2018
4196949779,PLN-50,709411,9/20/2018
7969044816,PLN-2K,601543,9/20/2018
7848228476,PLN-100,281981,9/20/2018
3595480181,PLN-500,130741,9/20/2018
3854509678,PLN-500,453361,9/20/2018
7576518626,PLN-2K,309431,9/20/2018
9194468242,PLN-100,145655,9/20/2018
5062718206,PLN-500,846894,9/20/2018
9497883803,PLN-50,236710,9/20/2018
3754689807,PLN-500,670696,9/20/2018
3819802443,PLN-2K,141137,9/20/2018
1446730539,PLN-2K,482632,9/20/2018
3144967947,PLN-50,780151,9/20/2018
8632541976,PLN-2K,905153,9/20/2018
4892011670,PLN-100,720382,9/20/2018
4681738720,PLN-500,763446,9/20/2018
6788186529,PLN-500,458379,9/20/2018
5706085789,PLN-2K,163907,9/20/2018
6138634859,PLN-100,984639,9/20/2018
4321819908,PLN-500,533047,9/20/2018
5218485221,PLN-50,931407,9/20/2018
8029855518,PLN-500,713008,9/20/2018
9425409194,PLN-2K,904948,9/20/2018
7125213137,PLN-2K,243581,9/20/2018
9285714279,PLN-50,310651,9/20/2018
7444122122,PLN-2K,417293,9/20/2018
3078473293,PLN-100,405563,9/20/2018
7069570356,PLN-500,387009,9/20/2018
7186626560,PLN-500,430187,9/20/2018
6774425950,PLN-2K,745117,9/20/2018
8483040830,PLN-100,436197,9/20/2018
7685734946,PLN-500,427215,9/20/2018
8615221158,PLN-50,202216,9/20/2018
7822494852,PLN-500,444928,9/20/2018
1378147552,PLN-2K,838676,9/20/2018
2173622328,PLN-2K,176409,9/20/2018
1716595282,PLN-50,156905,9/20/2018
2071887566,PLN-2K,751240,9/20/2018
7438259036,PLN-100,788704,9/20/2018
7002374115,PLN-500,478741,9/20/2018
6791200457,PLN-500,598818,9/20/2018
9253308967,PLN-2K,980675,9/20/2018
9364188816,PLN-100,522988,9/20/2018
9025695205,PLN-500,145297,9/20/2018
7736804460,PLN-50,554182,9/20/2018
1156500870,PLN-500,522032,9/20/2018
7664570754,PLN-2K,505563,9/20/2018
8525805034,PLN-2K,721572,9/20/2018
1681438737,PLN-50,143396,9/20/2018
5734278389,PLN-2K,331434,9/20/2018
5843788607,PLN-100,812210,9/20/2018
3459231640,PLN-500,205866,9/20/2018
5681497688,PLN-500,298144,9/20/2018
9045364026,PLN-2K,163220,9/20/2018
1762362430,PLN-100,119572,9/20/2018
7596664730,PLN-500,103887,9/20/2018
1628575491,PLN-50,187689,9/20/2018
8107160143,PLN-500,343193,9/20/2018
2158656002,PLN-2K,342536,9/20/2018
4215863595,PLN-2K,103654,9/20/2018
3744207447,PLN-50,432770,9/20/2018
5227746632,PLN-2K,848158,9/20/2018
9284374442,PLN-100,819160,9/20/2018
5679471075,PLN-500,549966,9/20/2018
6768908786,PLN-500,919019,9/20/2018
4128074500,PLN-2K,712136,9/20/2018
2343036738,PLN-100,561627,9/20/2018
3778885193,PLN-500,848616,9/20/2018
8626246544,PLN-50,134824,9/20/2018
3476120177,PLN-500,628922,9/20/2018
2722569907,PLN-2K,404957,9/20/2018
1803505188,PLN-2K,131123,9/20/2018
6758538121,PLN-100,692626,9/20/2018
2933796130,PLN-500,865456,9/20/2018
1225292696,PLN-100,888511,9/20/2018
7144320159,PLN-50,242633,9/20/2018
2096627248,PLN-2K,390510,9/20/2018
9247745823,PLN-100,171023,9/20/2018
7724373489,PLN-500,353081,9/20/2018
5478498273,PLN-500,236512,9/20/2018
1194173819,PLN-2K,445074,9/20/2018
8094399441,PLN-100,991872,9/20/2018
7604773167,PLN-500,871441,9/20/2018
2718940218,PLN-50,791144,9/20/2018
8316239397,PLN-500,752585,9/20/2018
5992394306,PLN-2K,580793,9/20/2018
1212756925,PLN-2K,583632,9/20/2018
4893847672,PLN-50,122172,9/20/2018
2803269101,PLN-2K,678814,9/20/2018
6351921536,PLN-100,966294,9/20/2018
3267009970,PLN-500,631239,9/20/2018
6847541761,PLN-500,182437,9/20/2018
5901445460,PLN-2K,305668,9/20/2018
5137162047,PLN-100,932853,9/20/2018
8863450411,PLN-500,370245,9/20/2018
2685892262,PLN-50,468129,9/20/2018
7098691164,PLN-500,596669,9/20/2018
2012209032,PLN-2K,403611,9/20/2018
6814987711,PLN-2K,607779,9/20/2018
7573494558,PLN-50,594086,9/20/2018
9901219983,PLN-2K,877763,9/20/2018
8224203358,PLN-100,570940,9/20/2018
3601947220,PLN-500,548169,9/20/2018
9841422344,PLN-500,993392,9/20/2018
1128050885,PLN-2K,686026,9/20/2018
5395446628,PLN-100,964069,9/20/2018
5825328583,PLN-500,633079,9/20/2018
2034962840,PLN-50,702194,9/20/2018
3644230143,PLN-500,458504,9/20/2018
4801357382,PLN-2K,226395,9/20/2018
5611334030,PLN-2K,131791,9/20/2018
9579094994,PLN-50,954921,9/20/2018
1315416829,PLN-2K,274341,9/20/2018
7363117661,PLN-100,855950,9/20/2018
2405618454,PLN-500,446178,9/20/2018
2145157625,PLN-500,272554,9/20/2018
6854050411,PLN-2K,928306,9/20/2018
6317881902,PLN-100,118949,9/20/2018
6651906148,PLN-500,423863,9/20/2018
2959157218,PLN-50,221587,9/20/2018
8188114382,PLN-500,285695,9/20/2018
9081936370,PLN-2K,455948,9/20/2018
1044946240,PLN-2K,133875,9/20/2018
6878617338,PLN-50,746801,9/20/2018
2067464136,PLN-2K,682952,9/20/2018
2404718927,PLN-100,303676,9/20/2018
7632184391,PLN-500,929114,9/20/2018
7418051999,PLN-500,459272,9/20/2018
8993240185,PLN-2K,665913,9/20/2018
8122533428,PLN-100,172239,9/20/2018
8466432146,PLN-500,575582,9/20/2018
6205919109,PLN-50,378415,9/20/2018
3039075970,PLN-500,575392,9/20/2018
5621538689,PLN-2K,276810,9/20/2018
9188444729,PLN-2K,831965,9/20/2018
1969257912,PLN-50,270343,9/20/2018
9926613092,PLN-2K,937505,9/20/2018
2495470728,PLN-100,396711,9/20/2018
5004679267,PLN-500,569945,9/20/2018
6263159742,PLN-500,374808,9/20/2018
7107769929,PLN-2K,874875,9/20/2018
2674456867,PLN-100,755358,9/20/2018
4121356216,PLN-500,733854,9/20/2018
1298634552,PLN-50,859609,9/20/2018
1164361589,PLN-500,461068,9/20/2018
6881006493,PLN-2K,259769,9/20/2018
4131561011,PLN-2K,974477,9/20/2018
2045458957,PLN-50,873840,9/20/2018
1279956023,PLN-2K,247051,9/20/2018
8749717044,PLN-100,474069,9/20/2018
2111376311,PLN-500,569159,9/20/2018
9628113723,PLN-500,976331,9/20/2018
3283090681,PLN-2K,305297,9/20/2018
5962292272,PLN-100,558933,9/20/2018
4306713388,PLN-500,502418,9/20/2018
8296472968,PLN-50,404829,9/20/2018
2104385835,PLN-500,595776,9/20/2018
3396476606,PLN-2K,404452,9/20/2018
5415554075,PLN-2K,138055,9/20/2018
7411605846,PLN-50,697795,9/20/2018
2849885241,PLN-2K,633759,9/20/2018
7141924469,PLN-100,307358,9/20/2018
5426493791,PLN-500,650711,9/20/2018
6196705105,PLN-500,189608,9/20/2018
6731414098,PLN-2K,181267,9/20/2018
3783119554,PLN-100,952669,9/20/2018
1392586111,PLN-500,163787,9/20/2018
5565759548,PLN-50,207993,9/20/2018
9244884405,PLN-500,223856,9/20/2018
8982823617,PLN-2K,965681,9/20/2018
9187618409,PLN-2K,958590,9/20/2018
7763069065,PLN-100,553667,9/20/2018
